Card Name,Description,List,Labels,Members,Due,Start,Priority,Status,Notes
Fix open_app confirmation 500,"Prevent backend 500s when Gemini confirmation styling fails during app-launch requests.",Done,"backend,bugfix,high-priority","Jake",2026-04-14,2026-04-14,High,Complete,"Added fallback-safe confirmation and direct-output styling."
Restore direct URL launching,"Allow open_app to open direct URLs and domains such as https://news.ycombinator.com, github.com, and localhost:3000.",Done,"backend,feature,high-priority","Jake",2026-04-14,2026-04-14,High,Complete,"Added direct URL detection and browser launch path."
Add open_app regression tests,"Cover URL launch handling, confirmation fallback behavior, and Windows launch safety with focused unit tests.",Done,"tests,backend,quality","Jake",2026-04-14,2026-04-14,Medium,Complete,"Focused pytest coverage added for restored launcher behavior."
Ignore applist format header,"Skip the explanatory header row in applist.txt so it is not parsed as a real application entry.",Done,"backend,cleanup","Jake",2026-04-14,2026-04-14,Low,Complete,"Parser now ignores lines beginning with Format:."
Verify app launcher behavior on desktop,"Manually verify configured app launch, browser fallback, and direct URL open behavior in the running desktop app.",To Do,"qa,manual-test","Jake",2026-04-15,2026-04-14,High,Pending,"Requires backend restart and local UI verification."
Review open_app UX copy,"Tighten user-facing copy for confirmation prompts and fallback messages so failures are clearer without sounding mechanical.",To Do,"ux,copy,backend","Jake",2026-04-16,2026-04-15,Medium,Pending,"Keep wording short and consistent with Quacky voice."
Build frontend shell,"Create the main frontend shell for Quacky, including the initial desktop structure and user-facing application frame.",Done,"frontend,ui,core","Logan",2026-03-21,2026-03-18,High,Complete,"Frontend foundation built during the early UI push."
Draw Quacky icon,"Create the function that renders Quacky's icon for use across the desktop interface.",Done,"frontend,branding,ui","Logan",2026-03-21,2026-03-19,Medium,Complete,"Custom icon drawing support added."
Build system tray integration,"Add the system tray experience so Quacky can stay accessible outside the main chat window.",Done,"frontend,desktop,ux","Logan",2026-03-22,2026-03-20,High,Complete,"Tray behavior wired into the desktop flow."
Ship chat interface with speech input,"Build the main chat interface and support both text-based chat and speech-to-text interaction.",Done,"frontend,chat,speech","Logan",2026-03-23,2026-03-20,High,Complete,"Unified chat UI supports typed and spoken input."
Integrate 3D model window,"Add the 3D model into its own window and connect it to the broader frontend experience.",Done,"frontend,3d,ui","Logan",2026-03-24,2026-03-21,Medium,Complete,"Model window separated cleanly from the chat view."
Build settings controls for 3D model and speech,"Create a settings menu that controls 3D model visibility and speech-to-speech behavior.",Done,"frontend,settings,ux","Logan",2026-03-25,2026-03-22,Medium,Complete,"Settings menu expanded for major UI toggles."
Build wake-word speech-to-text system,"Implement a speech-to-text pipeline with 'Hey Quacky' wake-word detection for hands-free control.",Done,"speech,backend,voice","Deep",2026-03-07,2026-03-04,High,Complete,"Initial voice-first flow established."
Add microphone filtering and calibration,"Support microphone selection with filtering for real input devices plus ambient noise calibration.",Done,"speech,audio,quality","Deep",2026-03-07,2026-03-05,Medium,Complete,"Improved device selection and input stability."
Implement continuous listening mode,"Return to listening automatically after a voice command completes so interactions feel persistent.",Done,"speech,voice,feature","Deep",2026-03-08,2026-03-06,High,Complete,"Continuous listening loop added."
Create voice quit command,"Add a spoken quit command so the app can terminate cleanly without manual UI interaction.",Done,"speech,voice,utility","Deep",2026-03-08,2026-03-06,Low,Complete,"Voice exit path added for hands-free usage."
Integrate speech stack with AI backend,"Combine speech-to-text with the AI backend server and add chat session management for voice interactions.",Done,"speech,backend,integration","Deep",2026-03-14,2026-03-10,High,Complete,"Unified launcher and backend integration completed."
Enable single-phrase wake-word plus command capture,"Capture the wake word and spoken command in one phrase to reduce missed follow-up commands.",Done,"speech,ux,performance","Deep",2026-03-14,2026-03-11,High,Complete,"Reduced dead space between activation and command parsing."
Increase speech listening window,"Extend the listening window from 5 seconds to 15 seconds to improve command capture reliability.",Done,"speech,tuning,ux","Deep",2026-03-20,2026-03-20,Medium,Complete,"Longer listening period reduced clipped commands."
Implement persistent activation mode,"Allow speech recognition to remain active in a more persistent mode for ongoing voice sessions.",Done,"speech,feature,ux","Deep",2026-03-20,2026-03-20,Medium,Complete,"Reduced need for repeated wake-word reactivation."
Clean up speech-to-text module,"Refactor and simplify the speech-to-text module after the initial feature expansion.",Done,"speech,cleanup,maintenance","Deep",2026-03-20,2026-03-20,Low,Complete,"Module cleanup followed the persistent activation work."
